#,School Name,District,Block Name,UDISE ID
108399,UPS BHAISA SEHARI COMPOSITE,SANT KABIR NAGAR,SEMARINYAVA,9561708702
108400,UPS BHAISAHAVA,BALRAMPUR,PACHPERWA,9522201903
108401,UPS BHAISAHI JOTKALA COMPOSITE,SANT KABIR NAGAR,NATHNAGAR,9562005102
108402,UPS BHAISAHIYA COMPOSITE,SANT KABIR NAGAR,KHALILABAD,9561514502
108403,UPS BHAISAKHOOT COMPOSITE,SANT KABIR NAGAR,HAINSAR BAZAR,9561905002
108404,UPS BHAISAURI COMPOSIT,AURAIYA,SAHAR,9320803402
108405,UPS BHAISODA,CHANDAULI,NAUGARH,9660906901
108406,UPS BHAISRASI (C),KASGANJ,PATIYALI,9721002002
108407,UPS BHAITHAULI,VARANASI,HARHUA,9670310101
108408,UPS BHAIYA (1 TO 8 COMPOSITE SCHOOL),ALIGARH,GONDA,9121106202
108409,UPS BHAJJAPUR,KANPUR DEHAT,MALASA,9330602102
108410,UPS BHAJNAE,BAREILLY,MAJHGAWAN,9201009103
108411,UPS BHAKRA,PRATAPGARH,RAMPUR-SANGRAMGARH,9431604715
108412,UPS BHAKRAUL,JALAUN,NADIGAWN,9350802702
108413,UPS BHAKRAULI,SAMBHAL (BHIM NAGAR),GUNNOR,9681408302
108414,UPS BHAKURAHA COMPOSITE (1TO8),SITAPUR,PISAWAN,9241505302
108415,UPS BHAMMAPUR COMPOSITE(1 To 8),KHERI,BANKEGANJ,9231503902
108416,UPS BHAMORA,BAREILLY,ALAMPUR,9201710404
108417,UPS BHAMROLA ( 1 to 8 Compsite School ),ALIGARH,KHAIR,9120801502
108418,UPS BHANDARI,FIROZABAD,MADANPUR,9160601202
108419,UPS BHANDSAR,BAREILLY,VITHARI CHAINPUR,9201802303
108420,UPS BHANEDA,SHAMLI (PRABUDH NAGAR),KANDHLA,9740701104
108421,UPS BHANGA (COMPOSITE),JALAUN,MADHAUGADH,9350606303
108422,UPS BHANGHA COMPOJIT(1 To 8),KHERI,RAMIYA BEHAR,9231310212
108423,UPS BHANGURA AHIRANI COMPOSITE,SANT KABIR NAGAR,SEMARINYAVA,9561704802
108424,UPS BHANKARI (1 to 8 Composite School),ALIGARH,LODHA,9121012302
108425,UPS BHANKRI AHIWASI (1 TO 8 COMPOSITE SCHOOL),ALIGARH,DHANIPUR,9120102402
108426,UPS BHANOLI,ALIGARH,KHAIR,9120809302
108427,UPS BHANPUR KAKRAHAI,KHERI,PASGAWAN,9231401002
108428,UPS BHANPURI COMPOSITE(1To 8),KHERI,PALIYA,9231100102
108429,UPS BHANV,RAE BARELI,RAHI,9280102303
108430,UPS BHANVAPUR COMPOSITE (1TO8),SITAPUR,HARGAON,9240504402
108431,UPS BHANWAPUR COMPOSIT (1 To 8),KHERI,BEHJAM,9230200917
108432,UPS BHARAIRI,KASGANJ,AMAPUR,9720210702
108433,UPS BHARATPUR,ALIGARH,LODHA,9121006302
108434,UPS BHARATPUR BARGADI (1 to 8),LUCKNOW,BAKSHI KA TALAB,9270802203
108435,UPS BHARATPUR COMPOJIT(1 To 8),KHERI,RAMIYA BEHAR,9231308102
108436,UPS BHARATPUR KHURD,ETAWAH,TAKHA,9310107504
108437,UPS BHARATPURA,SANT KABIR NAGAR,HAINSAR BAZAR,9561908202
108438,UPS BHARAWAL,KANPUR DEHAT,DERAPUR,9330300402
108439,UPS BHARCHHA,CHANDAULI,NIYAMATABAD,9660809501
108440,UPS BHARETHA,PRAYAGRAJ,KAUDIHAR II,9451406201
108441,UPS BHARHARMAU,SITAPUR,MAHMOODABAD,9241003402
108442,UPS BHARROHIYA COMPOSITE,SANT KABIR NAGAR,KHALILABAD,9561507202
